,unverheiratet,lieben,lieben,perfekt,erzählen,töten,perfekt,töten,lieben,Marseille,Schiff,Feld,lieben,Leutnant,Gewehr,nachdenken,lieben,streicheln,Tochter,einzigartig,Fürst,Vorhang,wahnsinnig,einzigartig,perfekt,Unwetter
00518-00,0.0,0.00015476453681185053,0.00013265531726730045,0.00016950401650821725,1.4739479696366719e-05,2.210921954455008e-05,0.00016950401650821725,7.369739848183359e-06,0.00013265531726730045,0.0,0.0,0.0,0.0001621342766600339,0.0,7.369739848183359e-06,8.106713833001694e-05,0.00013265531726730045,7.369739848183359e-06,0.00011791583757093375,0.00014739479696366717,5.158817893728352e-05,2.210921954455008e-05,3.684869924091679e-05,0.00014739479696366717,0.00016950401650821725,0.0
00734-00,7.88059325105994e-06,0.00010717606821441519,9.456711901271928e-05,7.88059325105994e-05,1.7337305152331867e-05,2.364177975317982e-05,7.88059325105994e-05,1.8913423802543857e-05,9.456711901271928e-05,0.0,1.4185067851907892e-05,3.4674610304663733e-05,0.00010717606821441519,0.0,0.0,9.771935631314325e-05,6.304474600847952e-05,1.576118650211988e-06,0.000258483458634766,6.61969833089035e-05,4.728355950635964e-06,4.728355950635964e-06,4.097908490551169e-05,6.61969833089035e-05,7.88059325105994e-05,1.1032830551483915e-05
00226-00,1.519849230956289e-06,0.0001823819077147547,1.2918718463128457e-05,3.3436683081038364e-05,2.2797738464344337e-05,5.319472308347012e-05,3.3436683081038364e-05,1.6718341540519182e-05,1.2918718463128457e-05,7.599246154781445e-07,1.0638944616694024e-05,0.00015654447078849778,0.00018466168156118913,0.0,5.319472308347012e-06,5.091494923703569e-05,2.5837436926256914e-05,3.0396984619125783e-05,0.0003290473585020366,2.2037813848866194e-05,7.599246154781446e-06,1.519849230956289e-06,4.635540154416682e-05,2.2037813848866194e-05,3.3436683081038364e-05,1.0638944616694024e-05
00182-00,0.0,0.0002523047064531781,0.00012291767750283034,0.0001843765162542455,1.6173378618793465e-05,5.8224163027656476e-05,0.0001843765162542455,1.2938702895034773e-05,0.00012291767750283034,3.234675723758693e-05,4.8520135856380395e-05,4.5285460132621706e-05,0.0002523047064531781,0.0,3.234675723758693e-06,4.5285460132621706e-05,0.00015526443474041729,1.940805434255216e-05,0.00030082484230955847,0.00016173378618793466,0.00016820313763545204,3.234675723758693e-06,8.733624454148471e-05,0.00016173378618793466,0.0001843765162542455,2.2642730066310853e-05
00399-00,0.0,0.00022287354216278928,4.274287109971301e-05,9.464492886365025e-05,1.526531110704036e-05,3.053062221408072e-05,9.464492886365025e-05,3.6636746656896867e-05,4.274287109971301e-05,1.526531110704036e-05,3.053062221408072e-06,1.2212248885632289e-05,0.00022287354216278928,1.2212248885632289e-05,9.159186664224217e-06,4.8848995542529155e-05,5.190205776393723e-05,2.1371435549856505e-05,0.00018318373328448433,8.548574219942602e-05,5.190205776393723e-05,6.106124442816144e-05,4.579593332112108e-05,8.548574219942602e-05,9.464492886365025e-05,3.053062221408072e-06
00449-00,3.403841478239728e-05,0.0001434476051543885,7.293946024799416e-05,0.00011670313639679067,2.188183807439825e-05,4.37636761487965e-05,0.00011670313639679067,1.9450522732798445e-05,7.293946024799416e-05,1.2156576707999027e-05,1.9450522732798445e-05,3.890104546559689e-05,0.0001434476051543885,0.0,9.725261366399222e-06,3.890104546559689e-05,7.050814490639436e-05,3.890104546559689e-05,0.00010697787503039144,7.050814490639436e-05,0.0,0.0,3.646973012399708e-05,7.050814490639436e-05,0.00011670313639679067,2.4313153415998056e-06
00245-00,0.0,0.0,0.0,0.0,0.0,1.1799410029498525e-05,0.0,1.1799410029498525e-05,0.0,0.0,0.0,1.1799410029498525e-05,0.0,0.0,0.0,2.359882005899705e-05,0.0,4.71976401179941e-05,1.1799410029498525e-05,1.1799410029498525e-05,0.0,0.0,8.259587020648968e-05,1.1799410029498525e-05,0.0,0.0
00142-00,0.0,0.00011663167716351762,3.430343445985812e-05,5.762976989256164e-05,8.232824270365948e-06,6.037404464935029e-05,5.762976989256164e-05,2.332633543270352e-05,3.430343445985812e-05,1.3721373783943248e-06,5.488549513577299e-06,8.507251746044814e-05,0.00011937595192030627,3.567557183825244e-05,2.7442747567886496e-05,4.253625873022407e-05,4.390839610861839e-05,1.3721373783943248e-05,0.00016740076016410763,3.841984659504109e-05,5.488549513577299e-06,0.0,2.7442747567886496e-05,3.841984659504109e-05,5.762976989256164e-05,8.232824270365948e-06
00067-00,0.0,0.00021063717746182202,5.2659294365455505e-05,5.2659294365455505e-05,0.0,0.0001579778830963665,5.2659294365455505e-05,0.0,5.2659294365455505e-05,0.0,5.2659294365455505e-05,0.0001579778830963665,0.00021063717746182202,0.0,0.0,2.6329647182727753e-05,5.2659294365455505e-05,2.6329647182727753e-05,0.00010531858873091101,5.2659294365455505e-05,0.0002632964718272775,0.0,2.6329647182727753e-05,5.2659294365455505e-05,5.2659294365455505e-05,5.2659294365455505e-05
00637-00,2.660335069201966e-06,0.00011572457551028552,8.845614105096536e-05,0.0001090737378372806,1.1971507811408847e-05,3.524943966692605e-05,0.0001090737378372806,2.2612848088216712e-05,8.845614105096536e-05,2.3943015622817694e-05,3.990502603802949e-06,2.1947764320916218e-05,0.00011505949174298503,0.0,1.330167534600983e-05,8.380055467986193e-05,9.045139235286685e-05,2.4608099390118184e-05,5.520195268594079e-05,7.714971700685701e-05,8.978630858556636e-05,9.31117274220688e-06,5.653212022054178e-05,7.714971700685701e-05,0.0001090737378372806,3.3254188365024575e-06
00414-00,7.833641931348811e-05,0.00020889711816930162,9.732706641978826e-05,0.00010444855908465081,3.323363243602526e-05,4.510278687746285e-05,0.00010444855908465081,1.424298532972511e-05,9.732706641978826e-05,4.747661776575037e-06,7.121492664862555e-06,4.510278687746285e-05,0.00020889711816930162,9.495323553150074e-06,0.0,6.4093433983763e-05,9.02055737549257e-05,7.121492664862555e-06,0.00013768219152067606,9.970089730807577e-05,4.747661776575037e-06,9.495323553150074e-06,1.661681621801263e-05,9.970089730807577e-05,0.00010444855908465081,1.1869154441437592e-05
00383-00,0.0,0.0004417670682730924,0.00048192771084337347,0.00048192771084337347,4.0160642570281125e-05,4.0160642570281125e-05,0.00048192771084337347,0.0,0.00048192771084337347,4.0160642570281125e-05,0.0,0.0,0.0004417670682730924,0.0,0.0,0.0,0.0004417670682730924,0.00012048192771084337,0.0,0.0005220883534136547,4.0160642570281125e-05,0.0,4.0160642570281125e-05,0.0005220883534136547,0.00048192771084337347,0.0
00372-00,3.9588281868566906e-05,0.0005938242280285036,0.0001979414093428345,0.00035629453681710216,0.00011876484560570071,3.9588281868566906e-05,0.00035629453681710216,0.0,0.0001979414093428345,0.0,0.0,7.917656373713381e-05,0.0005938242280285036,0.0,0.0,3.9588281868566906e-05,0.00023752969121140142,0.0,0.0010292953285827395,0.0001979414093428345,0.00015835312747426763,0.0,0.0,0.0001979414093428345,0.00035629453681710216,0.0
00073-00,0.0,5.9537099054848555e-05,5.581603036392052e-05,8.55845798913448e-05,7.442137381856069e-06,4.465282429113641e-05,8.55845798913448e-05,1.1163206072784103e-05,5.581603036392052e-05,2.9768549527424277e-05,4.093175560020838e-05,7.442137381856069e-06,6.325816774577659e-05,0.0,0.0,3.348961821835231e-05,6.697923643670462e-05,1.860534345464017e-05,2.6047480836496243e-05,4.465282429113641e-05,1.1163206072784103e-05,7.442137381856069e-06,2.2326412145568206e-05,4.465282429113641e-05,8.55845798913448e-05,7.442137381856069e-06
00162-00,1.4855750661080905e-05,0.0001723267076685385,7.130760317318834e-05,0.00010547582969367442,3.11970763882699e-05,6.387972784264789e-05,0.00010547582969367442,1.7826900793297086e-05,7.130760317318834e-05,2.971150132216181e-06,2.2283625991621356e-05,1.9312475859405175e-05,0.0001723267076685385,0.0,0.0,3.268265145437799e-05,8.467777876816115e-05,3.268265145437799e-05,0.00023620643551118637,8.170662863594497e-05,7.72499034376207e-05,7.4278753305404525e-06,5.6451852512107436e-05,8.170662863594497e-05,0.00010547582969367442,1.0399025462756633e-05
00397-00,4.443259575224385e-06,0.00024437927663734115,6.664889362836577e-05,5.3319114902692615e-05,1.3329778725673154e-05,4.887585532746823e-05,5.3319114902692615e-05,3.554607660179508e-05,6.664889362836577e-05,0.0,5.3319114902692615e-05,0.00010663822980538523,0.00023993601706211678,0.0,1.3329778725673154e-05,6.220563405314139e-05,4.887585532746823e-05,3.554607660179508e-05,0.00023549275748689237,6.220563405314139e-05,4.443259575224385e-06,4.443259575224385e-06,7.109215320359016e-05,6.220563405314139e-05,5.3319114902692615e-05,0.0
00600-00,3.51080450085137e-06,0.00021591447680235925,0.00010883493952639247,0.00015798620253831166,1.053241350255411e-05,2.106482700510822e-05,0.00015798620253831166,5.266206751277055e-06,0.00010883493952639247,7.02160900170274e-06,2.6331033756385276e-05,2.808643600681096e-05,0.00021591447680235925,1.755402250425685e-06,3.51080450085137e-06,6.846068776660172e-05,0.00013165516878192637,1.404321800340548e-05,0.0003265048185791774,0.00011761195077852089,7.548229676830446e-05,1.9309424754682535e-05,3.686344725893939e-05,0.00011761195077852089,0.00015798620253831166,0.0
00587-00,0.0,0.0001255295779067943,7.322558711229666e-05,0.00017260316962184214,6.79951880328469e-05,0.0,0.00017260316962184214,0.0,7.322558711229666e-05,0.0,0.0,1.5691197238349286e-05,0.0001255295779067943,0.0,0.0,7.845598619174644e-05,9.937758250954548e-05,5.230399079449762e-06,7.322558711229666e-05,0.00014122077514514358,2.092159631779905e-05,1.0460798158899525e-05,3.661279355614833e-05,0.00014122077514514358,0.00017260316962184214,5.230399079449762e-06
00551-00,5.890162070074805e-06,0.00010035929988627456,4.621511778058693e-05,8.246226898104727e-05,2.0162477855256064e-05,2.0842111940264693e-05,8.246226898104727e-05,8.60869841010933e-06,4.621511778058693e-05,2.2654469500287714e-06,7.9290643251007e-06,2.763845279035101e-05,0.00010171856805629183,2.4919916450316482e-06,1.5858128650201398e-06,8.336844776105877e-05,5.029292229063872e-05,1.812357560023017e-05,9.582840598621702e-05,4.734784125560132e-05,1.88032096852388e-05,1.1327234750143856e-05,3.987186632050637e-05,4.734784125560132e-05,8.246226898104727e-05,2.2654469500287714e-06
00655-00,1.5235939404492426e-05,0.0001516338731209008,4.6070578675489e-05,5.223750652968832e-05,9.79453247431656e-06,3.7364327587207615e-05,5.223750652968832e-05,1.5961460328515874e-05,4.6070578675489e-05,6.166927854199315e-06,7.2552092402344884e-06,4.171745313134831e-05,0.00015199663358291253,2.212838818271519e-05,5.80416739218759e-06,3.954089035927796e-05,4.860990190957107e-05,3.555052527714899e-05,0.00014655522665273665,7.037552963027454e-05,7.835625979453248e-05,4.353125544140693e-06,3.0834639270996575e-05,7.037552963027454e-05,5.223750652968832e-05,5.078646468164142e-06
00472-00,4.10711352061771e-06,9.035649745358962e-05,6.571381632988336e-05,0.00011089206505667817,1.642845408247084e-05,6.571381632988336e-05,0.00011089206505667817,2.053556760308855e-05,6.571381632988336e-05,1.232134056185313e-05,2.053556760308855e-05,0.00013964185970100215,9.035649745358962e-05,0.0,1.232134056185313e-05,5.339247576803023e-05,5.749958928864794e-05,4.10711352061771e-05,4.10711352061771e-06,6.571381632988336e-05,0.0,4.10711352061771e-06,3.696402168555939e-05,6.571381632988336e-05,0.00011089206505667817,0.0
00406-00,0.0,0.00011657119887448497,8.03939302582655e-06,1.60787860516531e-05,1.4068937795196463e-05,3.0147723846849564e-05,1.60787860516531e-05,1.0049241282283188e-05,8.03939302582655e-06,0.0,0.0003919204100090443,1.2059089538739825e-05,0.00012059089538739825,2.0098482564566375e-06,0.0,1.2059089538739825e-05,4.019696512913275e-06,1.4068937795196463e-05,0.00019897497738920712,1.2059089538739825e-05,2.0098482564566375e-06,8.03939302582655e-06,3.8187116872676114e-05,1.2059089538739825e-05,1.60787860516531e-05,7.436438548889559e-05
00094-00,0.0,0.0,0.0,6.97350069735007e-05,6.97350069735007e-05,0.0,6.97350069735007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97350069735007e-05,6.97350069735007e-05,6.97350069735007e-05,0.0003486750348675035,6.97350069735007e-05,0.0,0.0,0.0,6.97350069735007e-05,6.97350069735007e-05,6.97350069735007e-05
00060-00,0.0,8.867969576042839e-05,8.526893823118114e-05,7.844742317268666e-05,0.0,2.0464545175483475e-05,7.844742317268666e-05,1.3643030116988984e-05,8.526893823118114e-05,6.821515058494492e-06,0.00013643030116988983,3.069681776322521e-05,8.867969576042839e-05,1.0232272587741737e-05,2.0464545175483475e-05,3.069681776322521e-05,0.00010573348340666462,2.7286060233977968e-05,1.705378764623623e-05,0.00010914424093591187,0.0,3.410757529247246e-06,6.139363552645042e-05,0.00010914424093591187,7.844742317268666e-05,3.069681776322521e-05
00317-00,1.1150306126586384e-05,0.0002057738312451851,9.629809836597332e-05,9.528443417264729e-05,8.10931354660828e-06,6.791550095284434e-05,9.528443417264729e-05,1.5204962899890524e-05,9.629809836597332e-05,1.5204962899890524e-05,5.068320966630175e-06,6.08198515995621e-06,0.0002057738312451851,0.0,1.013664193326035e-06,6.38608441795402e-05,9.629809836597332e-05,2.1286948059846732e-05,0.0002929489518712241,9.021611320601712e-05,6.791550095284434e-05,1.013664193326035e-06,6.284717998621417e-05,9.021611320601712e-05,9.528443417264729e-05,4.05465677330414e-06
00493-00,1.948829310392828e-05,0.00011275369581558506,8.769731896767727e-05,0.00014059411453548262,1.113616748795902e-05,0.00010579359113561068,0.00014059411453548262,4.176062807984632e-05,8.769731896767727e-05,6.960104679974387e-06,1.113616748795902e-05,1.948829310392828e-05,0.0001113616748795902,0.0,1.3920209359948775e-06,4.732871182382583e-05,6.681700492775411e-05,5.011275369581559e-05,4.036860714385144e-05,7.37771096077285e-05,1.113616748795902e-05,1.113616748795902e-05,2.784041871989755e-05,7.37771096077285e-05,0.00014059411453548262,0.0
00611-00,2.9853597955625614e-06,0.00012956461512741516,9.015786582598935e-05,0.00011344367223137733,1.1344367223137732e-05,3.761553342408827e-05,0.00011344367223137733,1.612094289603783e-05,9.015786582598935e-05,6.567791550237634e-06,9.553151345800196e-06,1.4926798977812807e-05,0.00013016168708652768,1.7912158773375367e-06,2.9853597955625614e-06,5.672183611568866e-05,0.0001020993050082396,1.3135583100475269e-05,5.4333548279238616e-05,9.612858541711447e-05,5.970719591125123e-05,8.956079386687684e-06,3.8809677342313294e-05,9.612858541711447e-05,0.00011344367223137733,5.970719591125123e-06
00229-00,9.926543577526305e-06,0.0001389716100853683,0.00015882469724042087,0.00015882469724042087,9.926543577526305e-06,0.00010919197935278935,0.00015882469724042087,4.9632717887631524e-05,0.00015882469724042087,0.0,9.926543577526305e-06,1.985308715505261e-05,0.00012904506650784198,0.0,9.926543577526305e-06,8.933889219773674e-05,0.0001389716100853683,8.933889219773674e-05,0.0,0.0001488981536628946,0.0,4.9632717887631524e-05,2.9779630732578915e-05,0.0001488981536628946,0.00015882469724042087,0.0
00710-00,0.0,0.00010133732037544646,8.804717999833874e-05,9.801478528116953e-05,1.6612675471384666e-06,6.47894343384002e-05,9.801478528116953e-05,2.4919013207077e-05,8.804717999833874e-05,0.0,6.47894343384002e-05,1.9935210565661598e-05,0.00010133732037544646,1.6612675471384666e-06,8.306337735692333e-06,7.4757039621231e-05,9.46922501868926e-05,6.312816679126173e-05,9.967605282830799e-06,9.635351773403107e-05,6.645070188553866e-06,0.0,4.153168867846167e-05,9.635351773403107e-05,9.801478528116953e-05,2.3257745659938534e-05
00119-00,3.974246880216199e-06,6.888694592374744e-05,4.106721776223406e-05,9.140767824497258e-05,7.948493760432398e-06,1.457223856079273e-05,9.140767824497258e-05,2.119598336115306e-05,4.106721776223406e-05,5.298995840288265e-06,1.1922740640648597e-05,2.914447712158546e-05,7.418594176403572e-05,1.3247489600720663e-06,5.298995840288265e-06,3.0469226081657524e-05,5.2989958402882654e-05,1.9871234401080993e-05,4.769096256259439e-05,5.6964205283098854e-05,0.0001179026574464139,6.623744800360332e-06,2.6494979201441327e-05,5.6964205283098854e-05,9.140767824497258e-05,1.059799168057653e-05
00607-00,0.0,0.00016699137211244086,1.8554596901382317e-05,3.7109193802764635e-05,9.277298450691159e-06,0.00019482326746451432,3.7109193802764635e-05,5.566379070414695e-05,1.8554596901382317e-05,0.0,0.0,0.00013915947676036738,0.00016699137211244086,0.0,5.566379070414695e-05,0.00012060487985898507,2.7831895352073476e-05,3.7109193802764635e-05,0.00019482326746451432,4.638649225345579e-05,1.8554596901382317e-05,0.0,0.00017626867056313203,4.638649225345579e-05,3.7109193802764635e-05,9.277298450691159e-06
00257-00,4.5699661822502514e-06,0.00015309386710538343,2.9704780184626632e-05,0.00012567407001188192,3.198976327575176e-05,9.139932364500503e-06,0.00012567407001188192,6.854949273375377e-06,2.9704780184626632e-05,0.0,0.0,0.0001348140023763824,0.00015309386710538343,2.2849830911251257e-06,1.1424915455625628e-05,3.655972945800201e-05,4.112969564025226e-05,1.599488163787588e-05,0.0001942235627456357,5.9409560369253265e-05,4.5699661822502514e-06,0.0,2.9704780184626632e-05,5.9409560369253265e-05,0.00012567407001188192,0.0
00417-00,7.693787266782074e-05,7.693787266782074e-05,9.617234083477592e-06,1.9234468166955184e-05,0.0,6.732063858434315e-05,1.9234468166955184e-05,4.808617041738796e-05,9.617234083477592e-06,0.0,0.0,6.732063858434315e-05,7.693787266782074e-05,0.0,1.9234468166955184e-05,0.0001250240430852087,9.617234083477592e-06,1.9234468166955184e-05,0.00037507212925562606,9.617234083477592e-06,0.0,1.9234468166955184e-05,3.846893633391037e-05,9.617234083477592e-06,1.9234468166955184e-05,1.9234468166955184e-05
00463-00,0.0,4.748588613939746e-05,2.4622311331539422e-05,3.341599394994636e-05,1.7587365236813873e-05,0.00010024798184983908,3.341599394994636e-05,2.638104785522081e-05,2.4622311331539422e-05,0.0,2.4622311331539422e-05,6.331451485252994e-05,4.748588613939746e-05,4.0450940044671906e-05,3.5174730473627745e-05,5.4520832234123006e-05,2.4622311331539422e-05,1.934610176049526e-05,2.9898520902583584e-05,2.110483828417665e-05,1.7587365236813872e-06,7.034946094725549e-06,4.0450940044671906e-05,2.110483828417665e-05,3.341599394994636e-05,5.276209571044162e-06
00717-00,3.986477867074882e-05,0.00020889144023472381,0.000169026661563975,0.00021208062252838373,3.189182293659906e-05,1.754050261512948e-05,0.00021208062252838373,1.5945911468299528e-06,0.000169026661563975,5.102691669855849e-05,1.4351320321469575e-05,3.1891822936599055e-06,0.00020410766679423395,3.1891822936599055e-06,0.0,8.610792192881745e-05,0.0001897563464727644,4.6243143258068634e-05,2.71080494961092e-05,0.00019135093761959434,1.5945911468299528e-06,1.1162138027809669e-05,3.0297231789769102e-05,0.00019135093761959434,0.00021208062252838373,9.567546880979717e-06
00424-00,8.56898029134533e-06,0.00016066838046272492,0.00011353898886032562,0.00014781491002570694,5.569837189374464e-05,7.069408740359898e-05,0.00014781491002570694,2.784918594687232e-05,0.00011353898886032562,1.713796058269066e-05,8.56898029134533e-06,2.570694087403599e-05,0.00016066838046272492,2.1422450728363323e-05,6.426735218508998e-06,7.712082262210797e-05,0.00011996572407883462,4.070265638389032e-05,5.141388174807198e-05,0.00011353898886032562,0.0002377892030848329,6.426735218508998e-06,0.00014781491002570694,0.00011353898886032562,0.00014781491002570694,1.4995715509854327e-05
00179-00,5.770007501009752e-06,0.00013271017252322427,8.36651087646414e-05,7.501009751312677e-05,2.8850037505048756e-05,6.347008251110727e-05,7.501009751312677e-05,0.0,8.36651087646414e-05,0.0,0.0,2.019502625353413e-05,0.00013271017252322427,0.0,0.0,8.655011251514626e-05,5.481507125959264e-05,2.3080030004039007e-05,0.00015867520627776816,6.0585078760602387e-05,5.770007501009752e-06,0.0,9.232012001615603e-05,6.0585078760602387e-05,7.501009751312677e-05,0.0
00263-00,8.90551251224508e-06,0.00017365749398877905,6.233858758571556e-05,0.00010686615014694096,3.562205004898032e-05,0.00011577166265918604,0.00010686615014694096,4.898031881734794e-05,6.233858758571556e-05,9.350788137857334e-05,1.781102502449016e-05,0.00012912993142755365,0.00017365749398877905,4.45275625612254e-06,8.460236886632826e-05,6.67913438418381e-05,9.796063763469587e-05,1.781102502449016e-05,0.00012022441891530858,6.67913438418381e-05,0.0004942559444296019,0.0,3.116929379285778e-05,6.67913438418381e-05,0.00010686615014694096,0.0
00451-00,1.5778345798226514e-06,6.15355486130834e-05,5.364637571397015e-05,6.311338319290605e-05,9.467007478935908e-06,5.680204487361545e-05,6.311338319290605e-05,1.8934014957871817e-05,5.364637571397015e-05,0.0,0.00010255924768847234,1.2622676638581212e-05,6.15355486130834e-05,7.415822525166461e-05,2.5245353277162423e-05,5.0490706554324846e-05,5.20685411341475e-05,2.366751869733977e-05,2.5245353277162423e-05,4.260153365521159e-05,1.8934014957871817e-05,1.5778345798226514e-06,4.417936823503424e-05,4.260153365521159e-05,6.311338319290605e-05,6.311338319290606e-06
00480-00,1.0497585555322276e-05,6.998390370214851e-05,2.0995171110644552e-05,5.598712296171881e-05,2.4494366295751976e-05,5.248792777661138e-05,5.598712296171881e-05,2.4494366295751976e-05,2.0995171110644552e-05,3.4991951851074255e-06,1.3996780740429702e-05,0.00010147666036811534,6.998390370214851e-05,2.7993561480859404e-05,5.248792777661138e-05,4.548953740639653e-05,2.0995171110644552e-05,0.00012947022184897473,0.00016096297851494155,2.7993561480859404e-05,6.998390370214851e-06,6.998390370214851e-06,6.298551333193365e-05,2.7993561480859404e-05,5.598712296171881e-05,3.4991951851074255e-06
00102-00,1.5619508766449296e-05,0.00023559425722727688,0.00011454306428729483,8.720892394600856e-05,1.3016257305374412e-05,4.295364910773556e-05,8.720892394600856e-05,1.8222760227524178e-05,0.00011454306428729483,1.3016257305374413e-06,2.6032514610748825e-06,6.508128652687206e-06,0.00023559425722727688,9.111380113762089e-06,1.5619508766449296e-05,5.076340349096021e-05,7.028778944902183e-05,1.041300584429953e-05,0.0002368958829578143,6.768453798794694e-05,0.00013927395316750622,1.3016257305374413e-06,3.123901753289859e-05,6.768453798794694e-05,8.720892394600856e-05,2.6032514610748825e-06
00569-00,4.343293954134816e-06,0.00020196316886726893,0.00015997799397729905,0.00024322446143154968,1.80970581422284e-05,1.1582117211026175e-05,0.00024322446143154968,2.0268705119295807e-05,0.00015997799397729905,1.447764651378272e-05,2.895529302756544e-06,7.962705582580496e-06,0.00020268705119295808,7.23882325689136e-06,1.447764651378272e-06,4.198517488996989e-05,0.00016649293490850127,0.0003518068102849201,7.962705582580496e-05,0.00017011234653694697,3.329858698170026e-05,1.1582117211026175e-05,7.383599722029187e-05,0.00017011234653694697,0.00024322446143154968,2.895529302756544e-06
00177-00,1.8896447467876038e-06,0.0002021919879062736,0.00010204081632653062,0.0001436130007558579,9.44822373393802e-06,6.991685563114135e-05,0.0001436130007558579,1.7006802721088435e-05,0.00010204081632653062,9.44822373393802e-06,1.511715797430083e-05,3.968253968253968e-05,0.00020408163265306123,0.0,1.511715797430083e-05,5.291005291005291e-05,0.00011526832955404384,3.779289493575208e-05,9.259259259259259e-05,0.00010204081632653062,0.00021164021164021165,7.558578987150415e-06,5.291005291005291e-05,0.00010204081632653062,0.0001436130007558579,1.8896447467876038e-06
00140-00,1.9886250646303147e-05,0.00024559519548184386,0.00011434594121624309,0.0001401980670564372,1.1931750387781888e-05,8.053931511752774e-05,0.0001401980670564372,1.093743785546673e-05,0.00011434594121624309,8.948812790836415e-06,1.3920375452412203e-05,4.1761126357236606e-05,0.00024559519548184386,8.948812790836415e-06,2.982937596945472e-06,7.159050232669132e-05,0.00011036869108698247,2.3863500775563776e-05,0.00025553832080499545,0.00010639144095772183,4.076681382492145e-05,6.960187726206101e-06,5.4687189277333654e-05,0.00010639144095772183,0.0001401980670564372,2.982937596945472e-06
00290-00,2.149151085321298e-05,0.00019342359767891682,0.0001074575542660649,0.00013611290207034887,7.163836951070994e-06,2.8655347804283976e-05,0.00013611290207034887,0.0,0.0001074575542660649,0.0,0.0,2.8655347804283976e-05,0.00019342359767891682,0.0,2.8655347804283976e-05,7.880220646178094e-05,0.00010029371731499391,1.4327673902141988e-05,2.149151085321298e-05,0.0001074575542660649,2.8655347804283976e-05,0.0,1.4327673902141988e-05,0.0001074575542660649,0.00013611290207034887,0.0
00377-00,0.0,0.00023547880690737833,0.00015698587127158556,0.00020931449502878074,0.0,2.6164311878597592e-05,0.00020931449502878074,2.6164311878597592e-05,0.00015698587127158556,0.0,0.0,0.00013082155939298797,0.00023547880690737833,0.0,2.6164311878597592e-05,0.00013082155939298797,0.00015698587127158556,0.00013082155939298797,0.0007587650444793302,0.00015698587127158556,0.0,0.0,0.0,0.00015698587127158556,0.00020931449502878074,0.0
00599-00,1.1801200350664239e-05,0.00016353091914491873,0.00010621080315597815,0.00017196034796682178,1.854474340818666e-05,3.877537258075393e-05,0.00017196034796682178,2.1916514936947874e-05,0.00010621080315597815,1.517297187942545e-05,2.1916514936947874e-05,8.429428821903027e-06,0.00016521680490929935,1.6858857643806056e-06,0.0,6.574954481084361e-05,0.00011464023197788117,1.3487086115044845e-05,0.00010115314586283633,0.00013655674691482906,3.20318295232315e-05,5.057657293141817e-06,5.7320115988940586e-05,0.00013655674691482906,0.00017196034796682178,0.0
00665-00,3.9739867502606464e-06,0.00011851831072836164,4.4882673885296715e-05,6.52201354895718e-05,2.0804989457246916e-05,4.1843742840979754e-05,6.52201354895718e-05,1.4025835589155225e-05,4.4882673885296715e-05,1.168819632429602e-05,3.7869756090719107e-05,3.7635992164233185e-05,0.00011851831072836164,6.031109303336746e-05,3.7402228237747265e-06,6.031109303336746e-05,5.166182775338841e-05,3.366200541397254e-05,0.00012693381208185478,5.166182775338841e-05,1.3090779883211543e-05,6.311626015119851e-06,4.8155368856099604e-05,5.166182775338841e-05,6.52201354895718e-05,1.4493363442127064e-05
00046-00,2.2072131726482146e-06,7.063082152474287e-05,1.54504922085375e-05,2.648655807177857e-05,2.648655807177857e-05,2.427934489913036e-05,2.648655807177857e-05,1.1036065863241072e-05,1.54504922085375e-05,0.0,2.2072131726482146e-06,2.427934489913036e-05,7.504524787003928e-05,4.414426345296429e-06,0.0,2.8693771244426787e-05,2.2072131726482144e-05,5.076590297090893e-05,0.000154504922085375,1.986491855383393e-05,6.621639517944643e-06,8.828852690592858e-06,5.7387542488853574e-05,1.986491855383393e-05,2.648655807177857e-05,6.621639517944643e-06
00517-00,2.0995171110644552e-05,0.0001819581496255861,0.0001819581496255861,0.0001959549303660158,1.3996780740429702e-05,6.298551333193365e-05,0.0001959549303660158,1.3996780740429702e-05,0.0001819581496255861,0.0,2.0995171110644552e-05,6.998390370214851e-06,0.00018895653999580098,0.0,0.0,5.598712296171881e-05,0.0001819581496255861,2.0995171110644552e-05,7.698229407236336e-05,0.00018895653999580098,2.0995171110644552e-05,6.998390370214851e-06,4.1990342221289104e-05,0.00018895653999580098,0.0001959549303660158,2.0995171110644552e-05
00191-00,0.0,0.00014812282800660855,5.8869329079549555e-05,0.0001272337112364458,1.5192084923754724e-05,3.2283180462978785e-05,0.0001272337112364458,7.596042461877362e-06,5.8869329079549555e-05,9.495053077346703e-06,5.5071307848610876e-05,3.798021230938681e-05,0.0001500218386220779,1.8990106154693405e-06,1.8990106154693405e-06,6.836438215689625e-05,6.07683396950189e-05,1.1394063692816042e-05,0.00014812282800660855,6.836438215689625e-05,1.1394063692816042e-05,3.798021230938681e-06,3.418219107844813e-05,6.836438215689625e-05,0.0001272337112364458,7.596042461877362e-06
