,unverheiratet,lieben,lieben,perfekt,erzählen,töten,perfekt,töten,lieben,Marseille,Schiff,Feld,lieben,Leutnant,Gewehr,nachdenken,lieben,streicheln,Tochter,einzigartig,Fürst,Vorhang,wahnsinnig,einzigartig,perfekt,Unwetter
00138-00,0.0,0.00015575759771072555,8.451962666473479e-05,0.00011108293790222286,1.086680914260876e-05,2.6563311237488076e-05,0.00011108293790222286,1.3281655618744038e-05,8.451962666473479e-05,1.81113485710146e-05,8.45196266647348e-06,4.7089506284637955e-05,0.00015696502094879317,9.65938590454112e-06,1.3281655618744038e-05,4.588208304657031e-05,9.055674285507299e-05,1.3281655618744038e-05,8.331220342666714e-05,8.089735695053187e-05,2.6563311237488076e-05,1.086680914260876e-05,5.071177599884087e-05,8.089735695053187e-05,0.00011108293790222286,4.82969295227056e-06
00186-00,9.531374106433678e-06,0.00017474185861795076,4.871591209954991e-05,6.777866031241727e-05,9.531374106433678e-06,3.600741329097167e-05,6.777866031241727e-05,2.4357956049774955e-05,4.871591209954991e-05,3.0712205454064074e-05,3.1771247021445594e-06,1.8003706645485836e-05,0.0001726237754831877,0.0,8.472332539052158e-06,5.718824463860206e-05,5.507016150383902e-05,2.1180831347630396e-05,0.00018003706645485835,5.40111199364575e-05,2.3298914482393435e-05,1.0590415673815198e-06,4.659782896478687e-05,5.40111199364575e-05,6.777866031241727e-05,2.1180831347630396e-06
00155-00,0.0,0.00011942925388145075,8.48576277578729e-05,0.00011000062857502043,1.8857250612860646e-05,3.771450122572129e-05,0.00011000062857502043,1.5714375510717202e-05,8.48576277578729e-05,9.428625306430323e-06,1.8857250612860646e-05,2.8285875919290968e-05,0.00011942925388145075,3.142875102143441e-06,6.285750204286882e-06,3.457162612357785e-05,7.857187755358602e-05,2.8285875919290968e-05,3.457162612357785e-05,8.48576277578729e-05,0.0,0.0,2.5143000817147527e-05,8.48576277578729e-05,0.00011000062857502043,3.142875102143441e-06
00074-00,0.0,4.614041651078688e-05,2.8681880533732386e-05,4.73874547948622e-05,1.995261254520514e-05,3.2422995385958346e-05,4.73874547948622e-05,2.4940765681506424e-05,2.8681880533732386e-05,8.355156503304652e-05,0.0,3.2422995385958346e-05,4.988153136301285e-05,1.4964459408903853e-05,4.364633994263624e-05,3.990522509041028e-05,4.2399301658560915e-05,1.8705574261129817e-05,4.11522633744856e-05,4.614041651078688e-05,0.00020326724030427735,3.7411148522259634e-05,3.117595710188303e-05,4.614041651078688e-05,4.73874547948622e-05,0.0
00716-00,1.0574653680091976e-05,9.112201575398405e-05,4.454854103528109e-05,5.219829050598593e-05,7.874742102196152e-06,4.882340103361615e-05,5.219829050598593e-05,3.127397577729329e-05,4.454854103528109e-05,6.74977894473956e-07,1.822440315079681e-05,5.557317997835571e-05,9.04470378595101e-05,4.6348482087211647e-05,3.4198879986680435e-05,3.554883577562835e-05,4.4773533666772414e-05,2.7449101041940878e-05,8.729714101863164e-05,4.679846735019428e-05,6.0973003134147354e-05,4.724845261317692e-06,3.3298909460715164e-05,4.679846735019428e-05,5.219829050598593e-05,1.4624521046935713e-05
00711-00,1.9861012633590135e-07,5.7398326511075496e-05,3.098317970840061e-05,3.773592400382126e-05,1.2711048085497687e-05,3.7934534130157163e-05,3.773592400382126e-05,1.926518225458243e-05,3.098317970840061e-05,3.972202526718027e-07,9.136065811451463e-06,5.77955467637473e-05,5.77955467637473e-05,4.3297007541226496e-05,1.7874911370231122e-05,4.905670120496764e-05,3.0188739203057007e-05,1.6683250612215716e-05,5.541222524771648e-05,4.707059994160862e-05,5.1837242973670255e-05,6.554134169084745e-06,2.8004027813362092e-05,4.707059994160862e-05,3.773592400382126e-05,9.930506316795068e-06
00674-00,1.109237731830686e-05,0.00013606649510456415,4.880646020055018e-05,6.951223119472299e-05,2.218475463661372e-06,4.067205016712515e-05,6.951223119472299e-05,1.8487295530511434e-05,4.880646020055018e-05,7.394918212204573e-07,2.218475463661372e-05,7.61676575857071e-05,0.00013754547874700505,7.394918212204573e-07,1.8487295530511434e-05,5.324341112787293e-05,5.176442748543201e-05,2.218475463661372e-05,0.00019374685715975982,6.433578844617979e-05,5.9159345697636586e-06,7.394918212204573e-06,3.7714082882243324e-05,6.433578844617979e-05,6.951223119472299e-05,1.3310852781968232e-05
00691-00,2.4713451787464314e-05,0.00015424602667348417,2.55656397801355e-05,6.902722740636585e-05,2.2156887809450765e-05,2.897439175082023e-05,6.902722740636585e-05,1.7043759853423664e-05,2.55656397801355e-05,6.817503941369466e-06,1.6191571860752482e-05,3.664408368486088e-05,0.00015424602667348417,6.817503941369466e-06,0.0,5.8800971494311646e-05,2.897439175082023e-05,5.709659550896928e-05,0.0001065234990838979,3.408751970684733e-05,5.1131279560270995e-06,1.0226255912054199e-05,2.812220375814905e-05,3.408751970684733e-05,6.902722740636585e-05,5.965315948698283e-06
00043-00,3.528325187053122e-05,0.00016396334692776274,7.886844535765802e-05,9.962329939914697e-05,3.632099457260567e-05,0.00012037815344063593,9.962329939914697e-05,1.2452912424893372e-05,7.886844535765802e-05,6.226456212446686e-06,1.0377427020744476e-05,2.3868082147712297e-05,0.0001608501188215394,2.2830339445637848e-05,9.339684318670028e-06,5.811359131616907e-05,8.198167346388137e-05,3.2170023764307876e-05,0.0001463217209924971,7.783070265558357e-05,0.00011311395452611479,5.188713510372238e-06,5.811359131616907e-05,7.783070265558357e-05,9.962329939914697e-05,1.349065512696782e-05
00721-00,6.807236091965759e-06,0.00010693033361129547,4.6516113295099356e-05,7.629777119744956e-05,2.9781657902350198e-05,4.8501557155256036e-05,7.629777119744956e-05,1.191266316094008e-05,4.6516113295099356e-05,1.786899474141012e-05,1.304720250960104e-05,1.27635676724358e-05,0.00010579579426263452,8.22541027779196e-06,7.090870929131e-06,9.133041756720727e-05,5.10542706897432e-05,3.573798948282024e-05,0.00010522852458830403,5.1337905526908435e-05,4.793428748092556e-05,2.495986567054112e-05,2.9781657902350198e-05,5.1337905526908435e-05,7.629777119744956e-05,1.98544386015668e-06
